Data,Valor,Identificador,Descrição
01/08/2026,4500.00,68a1e2a0-8c1e-4b2b-9c3d-000000000001,Transferência recebida pelo Pix - ACME TECNOLOGIA LTDA - 12.345.678/0001-90
02/08/2026,-58.00,68a1e2a0-8c1e-4b2b-9c3d-000000000002,Compra no débito - Uber *Trip
03/08/2026,-1250.00,68a1e2a0-8c1e-4b2b-9c3d-000000000003,Pagamento de fatura - Cartão Nubank
05/08/2026,-132.47,68a1e2a0-8c1e-4b2b-9c3d-000000000004,Compra no débito - Pão de Açúcar 1234
05/08/2026,-132.47,68a1e2a0-8c1e-4b2b-9c3d-000000000005,Compra no débito - Pão de Açúcar 1234
08/08/2026,-1800.00,68a1e2a0-8c1e-4b2b-9c3d-000000000006,Transferência enviada pelo Pix - IMOBILIARIA SAO JOSE LTDA - 98.765.432/0001-10
12/08/2026,-55.90,68a1e2a0-8c1e-4b2b-9c3d-000000000007,Pagamento efetuado - NETFLIX.COM
15/08/2026,-230.00,68a1e2a0-8c1e-4b2b-9c3d-000000000008,Transferência enviada pelo Pix - JOÃO DA SILVA - •••.456.789-••
20/08/2026,300.00,68a1e2a0-8c1e-4b2b-9c3d-000000000009,Transferência recebida pelo Pix - MARIA OLIVEIRA - •••.123.456-••
25/08/2026,-89.90,68a1e2a0-8c1e-4b2b-9c3d-000000000010,Compra no débito - Drogaria São Paulo
28/08/2026,-19.99,68a1e2a0-8c1e-4b2b-9c3d-000000000011,Pagamento efetuado - SPOTIFY
30/08/2026,12.34,68a1e2a0-8c1e-4b2b-9c3d-000000000012,Rendimento da conta
